model.dropout,model.hidden_dim,model.num_layers,model.rgcn_bases,train.epochs,train.optimizer.lr,train.optimizer.weight_decay,val_auprc,trial
0.3,128,3,6,80,0.0007,0.01,0.1645731861921073,773
0.3,128,2,6,80,0.0005,0.05,0.16454967994047895,750
0.2,128,1,6,80,0.0005,0.05,0.16452665163249966,370
0.2,256,1,4,80,0.0007,0.01,0.16438310310431842,423
0.3,128,2,4,80,0.0009,0.05,0.16435870594989965,744
0.25,128,1,6,80,0.0005,0.05,0.16432795225216867,550
0.25,256,1,4,80,0.0005,0.01,0.16411078985667407,601
0.3,256,1,4,80,0.0005,0.01,0.16405178721225872,781
0.2,128,1,4,80,0.0007,0.05,0.163984961240496,362
0.3,128,1,4,80,0.0005,0.05,0.16390560933683856,720
0.15,128,1,6,80,0.0009,0.01,0.16389813167163048,195
0.3,128,3,4,80,0.0007,0.05,0.16380795729578507,762
0.2,128,3,6,80,0.0005,0.01,0.16373485743788485,411
0.1,128,1,4,80,0.0005,0.05,0.16305263993380514,0
0.1,128,1,4,80,0.0007,0.05,0.16299857721433153,2
0.3,128,1,4,80,0.0005,0.01,0.1629476549188431,721
0.2,128,1,4,80,0.0005,0.05,0.1624452845496724,360
0.25,128,1,4,80,0.0011,0.01,0.16233051324892422,547
0.1,128,1,4,80,0.0005,0.01,0.16209635924048468,1
0.15,128,1,4,80,0.0007,0.01,0.16201747735611075,183
0.2,128,1,4,80,0.0011,0.05,0.1618766549414681,366
0.25,128,1,4,80,0.0007,0.01,0.16162117709057316,543
0.25,128,1,4,80,0.0005,0.01,0.16146628863343102,541
0.3,128,3,6,80,0.0005,0.01,0.16113811697302816,771
0.15,128,1,4,80,0.0005,0.05,0.1610948981809467,180
0.3,128,2,6,80,0.0005,0.01,0.16109277002326766,751
0.15,128,1,4,80,0.0005,0.01,0.16097782582008083,181
0.3,128,1,6,80,0.0007,0.05,0.16055280415932496,732
0.2,128,2,4,80,0.0005,0.05,0.16022119714539906,380
0.2,128,1,6,80,0.0005,0.01,0.16002912811251835,371
0.25,128,1,6,80,0.0005,0.01,0.15982687282603325,551
0.25,128,1,4,80,0.0005,0.05,0.15978811715422916,540
0.2,128,1,4,80,0.0005,0.01,0.15977311309037617,361
0.25,128,3,4,80,0.0005,0.01,0.15977245057064798,581
0.25,128,3,4,80,0.0005,0.05,0.15897403935601112,580
0.1,128,1,6,80,0.0005,0.01,0.15843658395264307,11
0.3,128,3,4,80,0.0005,0.01,0.15827611633082847,761
0.3,128,1,4,80,0.0007,0.05,0.15697729520327913,722
0.25,128,1,4,80,0.0007,0.05,0.15069657054958074,542
